repository_name,repository_url,child_repository_index
soc-embedded-controller,https://github.com/OpenDevicePartnership/embedded-power-sequence,"[17,1]"
embedded-services,https://github.com/OpenDevicePartnership/embedded-services,"[2,3,4,5,6,7,8]"
embedded-usb-pd,https://github.com/OpenDevicePartnership/embedded-usb-pd,"[9]"
embedded-power-sequence,https://github.com/OpenDevicePartnership/embedded-power-sequence,"[]"
embedded-batteries,https://github.com/OpenDevicePartnership/embedded-batteries,"[14,15,16]"
embedded-cfu,https://github.com/OpenDevicePartnership/embedded-cfu,"[]"
embedded-sensors,https://github.com/OpenDevicePartnership/embedded-sensors,"[10]"
embedded-fans,https://github.com/OpenDevicePartnership/embedded-fans,"[]"
embedded-keyboard-rs ,https://github.com/OpenDevicePartnership/embedded-keyboard-rs,"[]"
tps6699x,https://github.com/OpenDevicePartnership/tps6699x,"[]"
tmp108,https://github.com/OpenDevicePartnership/tmp108,"[]"
is31fl3743b,https://github.com/OpenDevicePartnership/is31fl3743b,"[]"
pcal6416a,https://github.com/OpenDevicePartnership/pcal6416a,"[16]"
bq25773,https://github.com/OpenDevicePartnership/bq25773,"[]"
bq40z50,https://github.com/OpenDevicePartnership/bq40z50,"[]"
bq25770g,https://github.com/OpenDevicePartnership/bq25770g,"[]"
embedded-hal,https://github.com/rust-embedded/embedded-hal,"[18]"
embassy-imxrt,https://github.com/OpenDevicePartnership/embassy-imxrt,"[19]"
mimxrt600-fcb,https://github.com/OpenDevicePartnership/mimxrt600-fcb,"[]"
mimxrt633s-pac ,https://github.com/OpenDevicePartnership/mimxrt633s-pac,"[]"